"序号","省份","学校名称","类型","学校标识码","主管部门","所在地","办学层次","备注","985","211","双一流","隶属关系","院校层级","数据状态"
"345","安徽","中国科学技术大学","公办普通本科","4134010358","中国科学院","合肥市","本科","","是","是","是","中央部委所属","985/211/双一流","已匹配教育部名单"
"9","北京","北方工业大学","公办普通本科","4111010009","北京市","北京市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"1","北京","北京大学","公办普通本科","4111010001","教育部","北京市","本科","","是","是","是","教育部直属","985/211/双一流","已匹配教育部名单"
"28","北京","北京第二外国语学院","公办普通本科","4111010031","北京市","北京市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"17","北京","北京电子科技学院","公办普通本科","4111010018","中央办公厅","北京市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"12","北京","北京服装学院","公办普通本科","4111010012","北京市","北京市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"11","北京","北京工商大学","公办普通本科","4111010011","北京市","北京市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"5","北京","北京工业大学","公办普通本科","4111010005","北京市","北京市","本科","","","是","是","其他所属","211/双一流","已匹配教育部名单"
"6","北京","北京航空航天大学","公办普通本科","4111010006","工业和信息化部","北京市","本科","","是","是","是","中央部委所属","985/211/双一流","已匹配教育部名单"
"10","北京","北京化工大学","公办普通本科","4111010010","教育部","北京市","本科","","","是","是","教育部直属","211/双一流","已匹配教育部名单"
"15","北京","北京建筑大学","公办普通本科","4111010016","北京市","北京市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"4","北京","北京交通大学","公办普通本科","4111010004","教育部","北京市","本科","","","是","是","教育部直属","211/双一流","已匹配教育部名单"
"53","北京","北京警察学院","公办普通本科","4111014019","北京市","北京市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"8","北京","北京科技大学","公办普通本科","4111010008","教育部","北京市","本科","","","是","是","教育部直属","211/双一流","已匹配教育部名单"
"7","北京","北京理工大学","公办普通本科","4111010007","工业和信息化部","北京市","本科","","是","是","是","中央部委所属","985/211/双一流","已匹配教育部名单"
"50","北京","北京联合大学","公办普通本科","4111011417","北京市","北京市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"20","北京","北京林业大学","公办普通本科","4111010022","教育部","北京市","本科","","","是","是","教育部直属","211/双一流","已匹配教育部名单"
"19","北京","北京农学院","公办普通本科","4111010020","北京市","北京市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"24","北京","北京师范大学","公办普通本科","4111010027","教育部","北京市","本科","","是","是","是","教育部直属","985/211/双一流","已匹配教育部名单"
"16","北京","北京石油化工学院","公办普通本科","4111010017","北京市","北京市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"37","北京","北京体育大学","公办普通本科","4111010043","国家体育总局","北京市","本科","","","是","是","其他所属","211/双一流","已匹配教育部名单"
"27","北京","北京外国语大学","公办普通本科","4111010030","教育部","北京市","本科","","","是","是","教育部直属","211/双一流","已匹配教育部名单"
"43","北京","北京舞蹈学院","公办普通本科","4111010051","北京市","北京市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"33","北京","北京物资学院","公办普通本科","4111010037","北京市","北京市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"21","北京","北京协和医学院","公办普通本科","4111010023","国家卫生健康委员会","北京市","本科","","","","是","中央部委所属","双一流","已匹配教育部名单"
"49","北京","北京信息科技大学","公办普通本科","4111011232","北京市","北京市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"14","北京","北京印刷学院","公办普通本科","4111010015","北京市","北京市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"13","北京","北京邮电大学","公办普通本科","4111010013","教育部","北京市","本科","","","是","是","教育部直属","211/双一流","已匹配教育部名单"
